ID,PID,Job,Receptor,Ligand,Affinity,lRMSD,uRMSD,logKi, LE,SILE,FQ,LLE,LELP,Ki
23,23,26,2m9p_A_chian,10607,-8.58,0,0,-6.289,0.286,3.093,0.847,2.652,12.718,513.78 nM
141,141,145,2m9p_A_chian,18381,-8.553,0,0,-6.269,0.285,3.083,0.844,2.51,13.191,537.73 nM
52,52,57,2m9p_A_chian,44631912,-8.55,0,0,-6.267,0.267,3.023,0.832,2.376,14.574,540.46 nM
111,111,116,2m9p_A_chian,208908,-8.525,0,0,-6.249,0.213,2.819,0.788,-1.488,36.324,563.76 nM
7,7,9,2m9p_A_chian,5625,-8.517,0,0,-6.243,0.266,3.011,0.829,0.678,20.922,571.42 nM
84,84,89,2m9p_A_chian,3157,-8.517,0,0,-6.243,0.258,2.984,0.823,2.526,14.407,571.42 nM
67,67,72,2m9p_A_chian,5311167,-8.481,0,0,-6.217,0.292,3.088,0.842,3.862,8.065,607.22 nM
150,150,155,2m9p_A_chian,54726191,-8.391,0,0,-6.151,0.28,3.025,0.829,2.624,12.596,706.83 nM
156,156,157,2m9p_A_chian,11556711,-8.381,0,0,-6.143,0.161,2.562,0.721,-0.03,38.339,718.86 nM
27,27,31,2m9p_A_chian,5362440,-8.368,0,0,-6.134,0.186,2.671,0.751,3.893,12.048,734.81 nM
19,19,14,2m9p_A_chian,5311128,-8.349,0,0,-6.12,0.092,2.157,0.586,1.273,52.688,758.76 nM
222,222,231,2m9p_A_chian,5359272,-8.331,0,0,-6.107,0.438,3.444,0.9,2.671,7.844,782.16 nM
230,230,239,2m9p_A_chian,5284592,-8.329,0,0,-6.105,0.308,3.099,0.838,1.78,14.042,784.81 nM
180,180,187,2m9p_A_chian,6918554,-8.317,0,0,-6.096,0.287,3.029,0.827,2.026,14.182,800.86 nM
159,159,165,2m9p_A_chian,4891,-8.307,0,0,-6.089,0.361,3.243,0.864,3.719,6.566,814.49 nM
14,14,17,2m9p_A_chian,214348,-8.238,0,0,-6.039,0.294,3.032,0.824,2.943,10.529,915.09 nM
110,110,115,2m9p_A_chian,6741,-8.209,0,0,-6.017,0.304,3.054,0.827,5.335,2.243,961.0 nM
97,97,102,2m9p_A_chian,5754,-8.182,0,0,-5.997,0.315,3.079,0.832,4.624,4.358,1.01 uM
183,183,190,2m9p_A_chian,3955,-8.156,0,0,-5.978,0.24,2.832,0.784,0.793,21.605,1.05 uM
83,83,88,2m9p_A_chian,5556,-8.141,0,0,-5.967,0.354,3.178,0.847,3.034,8.285,1.08 uM
45,45,48,2m9p_A_chian,54767916,-8.139,0,0,-5.966,0.125,2.326,0.651,-4.426,83.138,1.08 uM
242,242,249,2m9p_A_chian,11978813,-8.125,0,0,-5.956,0.262,2.9,0.796,0.163,22.11,1.11 uM
9,9,11,2m9p_A_chian,3010818,-8.122,0,0,-5.954,0.166,2.527,0.713,2.623,20.067,1.11 uM
93,93,98,2m9p_A_chian,9863827,-8.085,0,0,-5.926,0.299,3.008,0.814,2.696,10.803,1.18 uM
124,124,129,2m9p_A_chian,152946,-8.074,0,0,-5.918,0.278,2.94,0.801,2.637,11.801,1.21 uM
118,118,123,2m9p_A_chian,9865442,-8.055,0,0,-5.904,0.298,2.997,0.811,4.824,3.623,1.25 uM
128,128,132,2m9p_A_chian,19649,-8.055,0,0,-5.904,0.201,2.663,0.744,5.358,2.715,1.25 uM
187,187,195,2m9p_A_chian,9904,-8.009,0,0,-5.871,0.4,3.26,0.856,3.859,5.029,1.35 uM
95,95,100,2m9p_A_chian,15052414,-7.943,0,0,-5.822,0.248,2.808,0.773,4.302,6.129,1.51 uM
184,184,192,2m9p_A_chian,4192,-7.929,0,0,-5.812,0.345,3.095,0.826,2.788,8.764,1.54 uM
109,109,114,2m9p_A_chian,5755,-7.925,0,0,-5.809,0.305,2.982,0.805,5.907,-0.323,1.55 uM
213,213,221,2m9p_A_chian,5284543,-7.924,0,0,-5.808,0.36,3.135,0.831,1.062,13.184,1.55 uM
178,178,185,2m9p_A_chian,4583,-7.918,0,0,-5.804,0.305,2.979,0.805,3.057,9.005,1.57 uM
179,179,186,2m9p_A_chian,3033924,-7.854,0,0,-5.757,0.302,2.955,0.797,3.01,9.095,1.75 uM
71,71,76,2m9p_A_chian,6714002,-7.842,0,0,-5.748,0.224,2.699,0.748,4.569,5.261,1.79 uM
17,17,13,2m9p_A_chian,25077993,-7.834,0,0,-5.742,0.082,1.992,0.538,-1.149,84.04,1.81 uM
196,196,202,2m9p_A_chian,446157,-7.799,0,0,-5.717,0.236,2.732,0.753,3.544,9.209,1.92 uM
245,245,253,2m9p_A_chian,11519070,-7.791,0,0,-5.711,0.243,2.755,0.757,-0.719,26.463,1.95 uM
30,30,34,2m9p_A_chian,3354,-7.789,0,0,-5.709,0.269,2.836,0.775,1.46,15.794,1.95 uM
236,236,241,2m9p_A_chian,37768,-7.765,0,0,-5.692,0.194,2.568,0.718,4.298,7.186,2.03 uM
112,112,117,2m9p_A_chian,11567473,-7.764,0,0,-5.691,0.268,2.827,0.772,3.194,9.318,2.04 uM
98,98,103,2m9p_A_chian,3742,-7.742,0,0,-5.675,0.18,2.505,0.703,0.984,26.061,2.11 uM
81,81,86,2m9p_A_chian,4893,-7.736,0,0,-5.671,0.276,2.847,0.773,2.36,11.997,2.14 uM
145,145,149,2m9p_A_chian,9915743,-7.658,0,0,-5.613,0.191,2.532,0.707,-0.589,32.472,2.44 uM
200,200,208,2m9p_A_chian,2118,-7.644,0,0,-5.603,0.347,3.024,0.801,3.324,6.569,2.49 uM
10,10,7,2m9p_A_chian,25077405,-7.624,0,0,-5.588,0.079,1.939,0.519,-1.379,88.19,2.58 uM
72,72,77,2m9p_A_chian,10184653,-7.619,0,0,-5.585,0.224,2.645,0.732,-0.516,27.237,2.6 uM
229,229,237,2m9p_A_chian,441278,-7.598,0,0,-5.569,0.362,3.048,0.805,1.66,10.8,2.7 uM
201,201,209,2m9p_A_chian,4474,-7.56,0,0,-5.542,0.216,2.602,0.722,0.631,22.735,2.87 uM
